member,group,material,section,section_source,length_in,weight_lb,area_in2,Iz_in4,unbraced_in,slenderness_KLr,dcr,governing_mode,governing_combination,axial_lb,moment_strong_lbin,shear_lb,check_basis,flags,action,removal_verdict,removal_effect,proposed_section,proposed_saving_lb
T-S vertical 2,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,38.4,6.6,0.609,0.188,38.4,69.0,0.041,flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.ni],40.0,-322.0,-17.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S vertical 3,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,38.4,6.6,0.609,0.188,38.4,69.0,0.117,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-276.0,117.0,6.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.155,,
T-S vertical 4,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,38.4,6.6,0.609,0.188,38.4,69.0,0.064,flexure,C5 0.9D+1.0W [WX+.pi],-8.0,-12.0,-3.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-S vertical 5,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,38.4,6.6,0.609,0.188,38.4,69.0,0.09,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX-.pi],-188.0,47.0,6.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.137,,
T-S vertical 6,Truss_TS,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,38.4,6.6,0.609,0.188,38.4,69.0,0.047,flexure,C3 1.2D+1.6Lr+1.0L,4.0,-581.0,26.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T-SO,Truss_Other,steel,W6X8.5,W6X8.5,245.5,175.5,2.52,14.9,179.5,116.0,0.558,H1-1b combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-1233.0,8194.0,-162.0,AISC 360-16 LRFD,,enlarge,overloads,BR-S-2 goes 0.601 -> 187.704,HSS4X4X3/16,-6.5
T1 diagonal 6,Truss_T1,steel,HSS1-1/2X1-1/2X3/16,HSS1-1/2X1-1/2X3/16,75.2,18.1,0.846,0.235,75.2,135.0,0.376,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,9256.0,595.0,15.0,AISC 360-16 LRFD,,downsize,overloads,T1 future floor beam goes 0.264 -> 1.165,HSS1-1/2X1-1/2X1/8,5.1
T1 diagonal 7,Truss_T1,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,75.2,13.0,0.609,0.188,75.2,135.0,0.576,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-3676.0,46.0,9.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 diagonal 8,Truss_T1,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,75.2,13.0,0.609,0.188,75.2,135.0,0.527,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],-3706.0,-109.0,-5.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 diagonal 9,Truss_T1,steel,HSS1-1/2X1-1/2X3/16,HSS1-1/2X1-1/2X3/16,75.2,18.1,0.846,0.235,75.2,135.0,0.369,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,8935.0,444.0,-13.0,AISC 360-16 LRFD,,downsize,overloads,T1 future floor beam goes 0.264 -> 1.131,HSS1-1/2X1-1/2X1/8,5.1
T1 future floor beam,LoftSteel,steel,W6X8.5,W6X8.5,245.5,175.5,2.52,14.9,28.6,26.0,0.264,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.pi],-1172.0,19407.0,-758.0,AISC 360-16 LRFD,,downsize,overloads,Wood joist 0-0 goes 0.683 -> 4.283,HSS3X3X1/4,4.4
T1 future hanger 2,LoftSteel,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,34.1,5.9,0.609,0.188,34.1,61.0,0.411,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-1238.0,-2709.0,-137.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 future hanger 3,LoftSteel,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,34.1,5.9,0.609,0.188,34.1,61.0,0.521,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-2178.0,-1769.0,-97.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 future hanger 4,LoftSteel,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,34.1,5.9,0.609,0.188,34.1,61.0,0.357,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.pi],-1349.0,2240.0,111.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 top / segment 1,Truss_T1,steel,HSS2X2X1/8,HSS2X2X1/8,245.5,58.6,0.841,0.487,61.4,81.0,0.493,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-4956.0,1209.0,27.0,AISC 360-16 LRFD,,keep,overloads,T1 future hanger 2 goes 0.411 -> 2.076,,
T1 upper lower chord,Truss_T1,steel,HSS1-1/2X1-1/2X3/16,HSS1-1/2X1-1/2X3/16,245.5,58.9,0.846,0.235,61.4,110.0,0.433,H1-1a combined axial + flexure,C2 1.2D+1.6L+0.5Lr,-3958.0,1024.0,-37.0,AISC 360-16 LRFD,,downsize,overloads,T1 future hanger 3 goes 0.521 -> 1.07,HSS1-1/2X1-1/2X1/8,16.5
T1 vertical 2,Truss_T1,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,43.5,7.5,0.609,0.188,43.5,78.0,0.149,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],-1245.0,272.0,2.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
T1 vertical 3,Truss_T1,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,43.5,7.5,0.609,0.188,43.5,78.0,0.136,flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX+.pi],78.0,151.0,0.0,AISC 360-16 LRFD,,keep,overloads,T1 top / segment 1 goes 0.493 -> 1.158,,
T1 vertical 4,Truss_T1,steel,HSS1-1/2X1-1/2X1/8,HSS1-1/2X1-1/2X1/8,43.5,7.5,0.609,0.188,43.5,78.0,0.169,H1-1b combined axial + flexure,C2 1.2D+1.6L+0.5Lr,-2913.0,268.0,21.0,AISC 360-16 LRFD,,redundant,redundant,frame stays stable and within capacity without it,,
W.SW0,Columns,steel,HSS4X4X3/16,HSS4X4X3/16,117.0,85.9,2.59,6.219,115.0,151.0,0.569,H1-1b combined axial + flexure,C3 1.2D+1.6Lr+1.0L,4164.0,6484.0,-63.0,AISC 360-16 LRFD,,downsize,overloads,E.bottom goes 0.616 -> 2.252,HSS2X2X1/8,58.0
W.W1,Columns,steel,HSS4X4X3/16,HSS4X4X3/16,153.4,112.7,2.59,6.219,153.4,291.0,0.51,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX+.pi],-740.0,-4264.0,-15.0,AISC 360-16 LRFD,KL/r = 291 exceeds 200,downsize,overloads,T-S top / segment 1 goes 0.95 -> 1.027,HSS1-1/2X1-1/2X3/16,75.8
W.W3,Columns,steel,HSS4X4X1/2,HSS4X4X1/2,228.8,390.4,6.018,11.904,112.8,58.0,0.481,H1-1b combined axial + flexure,C2 1.2D+1.6L+0.5Lr,22809.0,97538.0,-847.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS5X5X3/16,177.1
W.W4,Columns,steel,HSS4X4X1/4,HSS4X4X1/4,228.8,218.3,3.364,7.788,109.0,96.0,0.674,H1-1a combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],-18016.0,-13041.0,2185.0,AISC 360-16 LRFD,,downsize,overloads,E-M option B goes 0.551 -> 1.772,HSS3X3X3/16,95.5
W.bottom,WestMarkupFraming,steel,HSS3-1/2X3-1/2X3/16,HSS3-1/2X3-1/2X3/16,322.0,204.7,2.241,4.057,108.9,81.0,0.515,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.ni],-4638.0,2748.0,-59.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.416,,
W.clerestory,WestMarkupFraming,steel,HSS4X4X3/16,concept envelope,113.8,83.6,2.59,6.219,43.5,22.0,0.785,flexure,C3 1.2D+1.6Lr+1.0L,-2817.0,130318.0,-4747.0,AISC 360-16 LRFD,,enlarge,overloads,Wood joist 0-0 goes 0.683 -> 4.567,HSS5X5X3/16,-22.5
W.rear.brace,WestMarkupFraming,steel,HSS2-1/4X2-1/4X1/8,concept envelope,135.7,36.8,0.957,0.713,135.7,257.0,0.487,H1-1a combined axial + flexure,C5 0.9D+1.0W [WX-.pi],-950.0,601.0,-35.0,AISC 360-16 LRFD,KL/r = 257 exceeds 200,downsize,overloads,W.square.brace goes 0.978 -> 1.261,HSS1-1/2X1-1/2X3/16,4.3
W.slope,WestMarkupFraming,steel,HSS2-1/2X2-1/2X1/8,concept envelope,160.6,48.9,1.074,1.0,87.8,91.0,0.487,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WX-.pi],3655.0,138.0,14.0,AISC 360-16 LRFD,,keep,overloads,T-S top / segment 1 goes 0.95 -> 1.053,,
W.square.brace,WestMarkupFraming,steel,HSS2-1/4X2-1/4X1/8,concept envelope,157.5,42.8,0.957,0.713,157.5,299.0,0.978,H1-1a combined axial + flexure,C5 0.9D+1.0W [WY-.pi],-1220.0,2170.0,-71.0,AISC 360-16 LRFD,KL/r = 299 exceeds 200,downsize,overloads,W.rear.brace goes 0.487 -> 4.375,HSS1-1/2X1-1/2X3/16,5.0
W.top,WestMarkupFraming,steel,HSS5X5X3/16,concept envelope,182.9,170.6,3.288,12.604,73.9,79.0,0.487,H1-1b combined axial + flexure,C4 1.2D+1.0W+1.0L+0.5Lr [WY-.pi],-1772.0,1989.0,-63.0,AISC 360-16 LRFD,,downsize,unstable,removing this member leaves a mechanism: Exception: Unstable node(s). See console output for details.,HSS2-1/2X2-1/2X3/16,90.5
Wood joist 0-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.683,bending,S2 D+L,-6.0,-11147.0,-63.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 0-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.535,bending,S2 D+L,-52.0,8546.0,508.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 1-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.629,bending,S2 D+L,0.0,-10271.0,-31.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 1-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.344,bending,S5 D+0.6W [WX-.pi],-125.0,-288.0,1.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 10-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.82,bending,S2 D+L,1.0,-13387.0,52.0,NDS ASD,,keep,overloads,Wood joist 9-0 goes 0.858 -> 1.028,,
Wood joist 10-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.459,bending,S2 D+L,23.0,-7320.0,10.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 11-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.769,bending,S2 D+L,-2.0,-12549.0,39.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 11-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.405,bending,S2 D+L,-18.0,-6406.0,37.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 12-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.723,bending,S2 D+L,15.0,-11795.0,16.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 12-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.383,bending,S5 D+0.6W [WX+.pi],-158.0,-1365.0,7.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 13-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.659,bending,S2 D+L,16.0,-10757.0,-17.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 13-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.363,bending,S5 D+0.6W [WX+.pi],-78.0,-1214.0,8.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 14-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.683,bending,S2 D+L,-128.0,-11134.0,-51.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 14-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.386,bending,S2 D+L,109.0,5624.0,407.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 2-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.7,bending,S2 D+L,-5.0,-11421.0,10.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 2-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.374,bending,S5 D+0.6W [WX-.pi],-95.0,-626.0,2.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 3-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.778,bending,S2 D+L,2.0,-12702.0,43.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 3-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.467,bending,S5 D+0.6W [WX-.pi],-146.0,-2147.0,26.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 4-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.829,bending,S2 D+L,3.0,-13536.0,54.0,NDS ASD,,keep,overloads,Wood joist 5-0 goes 0.873 -> 1.034,,
Wood joist 4-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.432,bending,S2 D+L,5.0,-6939.0,-17.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 5-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.873,bending,S2 D+L,-4.0,-13978.0,-75.0,NDS ASD,,keep,overloads,Wood joist 6-0 goes 0.925 -> 1.072,,
Wood joist 5-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.477,bending,S2 D+L,1.0,-7701.0,-28.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 6-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.925,bending,S2 D+L,-19.0,-14853.0,-54.0,NDS ASD,,keep,overloads,Wood joist 7-0 goes 0.951 -> 1.1,,
Wood joist 6-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.519,bending,S2 D+L,-70.0,-8362.0,-3.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 7-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.951,bending,S2 D+L,-27.0,-15316.0,-39.0,NDS ASD,,keep,overloads,Wood joist 6-0 goes 0.925 -> 1.076,,
Wood joist 7-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.565,bending,S2 D+L,-169.0,9137.0,-520.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 8-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.897,bending,S2 D+L,-11.0,-14475.0,-65.0,NDS ASD,,keep,overloads,Wood joist 7-0 goes 0.951 -> 1.101,,
Wood joist 8-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.507,bending,S2 D+L,-38.0,-8097.0,47.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
Wood joist 9-0,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,108.9,21.9,10.875,47.635,108.9,252.0,0.858,bending,S2 D+L,1.0,-13861.0,-77.0,NDS ASD,,keep,overloads,Wood joist 8-0 goes 0.897 -> 1.056,,
Wood joist 9-1,LoftJoists,wood,1.5x7.25 DF-L No.2,concept envelope,74.0,14.9,10.875,47.635,74.0,171.0,0.493,bending,S2 D+L,29.0,-7911.0,-14.0,NDS ASD,,redundant,redundant,frame stays stable and within capacity without it,,
